Name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
Tool - Parabola-_z2O289Jemo.mp3,137.1951219512195,413,0.5756101176894531,0.1098102331161499,1018.8807307169308,1671.9969972650306,1814.9091164968002,0.018040684394628467,168.0655281346648,25.273967967651945,50.47812708859105,24.070096930719064,14.042534385617842,12.545696421824864,-2.453959051693569,7.039967404854848,-5.56576863662247,-1.338701345901041,4.946298956613042,Metal
Black Sabbath 'Iron Man'-5s7_WbiR79E.mp3,151.99908088235293,442,0.5430558091953042,0.03759743645787239,2471.541439697509,2900.7620774026004,5256.022384218387,0.0471155188278025,145.32080096571758,-39.51240134382928,65.29192741738008,4.820555676107791,22.354276314366153,-18.389517086533715,2.4048162367972776,8.030091794502628,14.0608023655986,11.073526662822218,1.2801597438102246,Metal
Chevelle - The Red-trinU3VD1Zo.mp3,140.625,410,0.5487994305488612,0.10912423580884933,3108.7288068796965,3304.887786843732,6737.292419708462,0.06588041310514932,147.4946467220994,-42.36167663262257,55.36137059494238,-10.022943596636827,31.072990646602825,-12.202458946018917,15.117144476313198,3.313966893969311,1.2691857450606256,8.043306612797478,-1.6353611408318605,Metal
Slipknot - All Out Life [OFFICIAL MUSIC VIDEO]-wLoYIBEZEfw.mp3,106.13207547169812,314,0.6065255385687087,0.25636401772499084,3462.287085076082,3427.4505857853196,7052.525128140554,0.0785127085061626,129.8776209966043,-42.834530059850984,55.65081059134713,-12.655709620081051,28.20147822936053,-8.900626199227936,17.285496970614766,-3.80190512852326,8.419130211084354,0.42870406681443274,3.271328028088292,Metal
Bring Me The Horizon - 'Shadow Moses' (Full Album Stream)-HJEahE-4juQ.mp3,143.5546875,392,0.5490508884713834,0.28473660349845886,2783.4334487175024,2915.6245090794155,5565.241347746953,0.06824278462412926,142.88643073960665,-51.34749401420192,45.979117732431305,-8.261829153936043,24.769945738341065,-7.636145477251668,10.386776478911486,0.5954400247743327,4.189835365262083,1.8654462885105831,3.882070593240635,Metal
Tool - Vicarious (Live DVD 2014)-GCmrLoYeO7E.mp3,117.1875,341,0.5401226952842223,0.17308999598026276,3466.636719966374,3165.2213766899827,6661.728841994548,0.09018733496348365,132.4070113864576,-67.98621614957712,62.49771113253604,-4.488070273223679,27.226081013958343,-9.92799798336985,22.583500874268992,-1.3938859486284572,-1.8344425258255421,8.164677792824968,-2.480257254117249,Metal
Faint (Official Video) - Linkin Park-LYU-8IFcDPw.mp3,135.99917763157896,364,0.4516832857223689,0.14945292472839355,3144.4717248011034,3184.069356892092,6289.960631119494,0.08235734571949235,130.08766032522107,-59.41892246440504,33.538140354401584,-20.690244481374656,22.282287274003885,-18.562706514254742,14.906249129925262,-7.894861903683356,5.843925013492235,-1.6669953799791286,-0.2889348489458927,Metal
Toto - Africa (metal cover by Leo Moracchioli feat. Rabea & Hannah)-MH9FyLsfDzw.mp3,105.46875,312,0.5262947395748558,0.2762642204761505,2799.6348881759222,3352.449723410056,6224.3262512395995,0.055248343169504645,147.50258514020203,-31.847906029224465,31.199908194521626,-12.41700596654766,26.211318687206614,-17.49851950486638,17.776559101275602,-0.26975047383013484,11.719698028041309,0.13463856215587583,4.669761642062648,Metal
IN THIS MOMENT - Whore (OFFICIAL VIDEO)-GurkREc-q4I.mp3,90.66611842105263,186,0.39993897420871805,0.22061201930046082,2493.517052410037,2800.551976211941,5250.194641680171,0.058669870728924794,149.44032660438978,-28.69600600828366,28.01044907108178,-8.319069266755864,25.938471522321528,-10.000583494612508,14.009899039135705,-3.1423413899491632,7.76108887088822,1.2908146783704955,3.311687023220924,Metal
Incubus - Pardon Me (Official Music Video)-PXzuDXZwZtI.mp3,152.02702702702703,446,0.5170091920148948,0.14688245952129364,2603.387215706976,2766.3000365556145,5234.541193855179,0.0570008177756133,159.07994696073632,-53.899610784492495,47.789675798948075,-11.845852413045218,22.959452004089062,-0.4647523234635119,6.8362784872211275,6.705334290430907,1.435716754973245,6.7498849907759295,1.1334180440103654,Metal
