,name,tempo,beats,chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,label
204,The Chainsmokers - Side Effects ft. Emily Warren (Official Music Video).mp3,110.29411764705885,325,0.5536318883900795,0.23052121698856354,3411.201939058905,3992.614501736639,7770.77284309078,0.058972836331921075,124.29043143252515,-7.868144788720257,43.642390127617205,-7.959414336104918,31.277518801554034,-14.692634338225592,20.79510954386996,1.301341260810636,9.452022491151471,4.997080518322703,7.772378697199598,Electronic
205,Korn - Coming Undone (Official Music Video)-CSJXle3LP_Q.mp3,148.0263157894737,445,0.6107903748945128,0.06564692407846451,3063.018524578091,3124.9444215596727,6261.895591372363,0.07109891173115668,148.5706681147215,-63.5476249846727,47.28975497574086,-2.592823272720269,33.04152555357831,-7.991027222899319,18.70153661292682,3.9416019368001303,1.923388829897976,14.120893204578614,-4.767101818368082,Metal
206,Tool - Forty Six & 2 (Live DVD 2014)-j2in3ptL7cM.mp3,107.666015625,312,0.4992240155986944,0.1790998876094818,3690.5453767808317,2901.2884752710247,6567.407510007498,0.11547539773002127,116.72169623147356,-76.79745613038504,81.5544310872271,-3.440250664654198,25.072433253809113,-10.903918476387243,19.5012357880296,-6.864286458828151,2.3479023767373866,4.304757232225162,-4.1527017222912965,Metal
207,JINJER - Pisces (Live Session) _ Napalm Records-SQNtGoM3FVU.mp3,140.625,414,0.538081565183011,0.2073250710964203,3059.710829235333,3635.194016089555,6748.4334261673375,0.05452709283894288,134.05783827898114,-20.987188004073747,49.27552372943101,0.7175655567270172,31.39354052281293,-8.645454850456769,15.136856301689606,-2.030561620569974,8.346611712406299,-4.055061291739354,3.849784379996112,Metal
208,Tool - Schism-UhjG47gtMCo.mp3,106.13207547169813,300,0.5591979799292922,0.19780732691287994,1987.1926183446444,2490.3319771348674,4010.6387214091023,0.036916215150213316,169.43575549805854,-33.95746875796928,37.86448810107714,12.819139765843936,32.0883310629815,2.4044470747554456,12.188603697156902,0.8598015464646485,1.4858298563611096,6.031414824983416,-1.949735863854013,Metal
209,SABATON - Bismarck (Official Music Video)-oVWEb-At8yc.mp3,95.703125,263,0.5579839226638933,0.1296384185552597,2844.903800615576,3055.425708940742,5855.8007018854005,0.0661641564777638,138.7241718373121,-30.678185392921304,42.75886033030304,-12.735513256155606,16.69956497068361,-3.4390253443743237,8.280310300863231,-1.8889708493987232,7.544714504541862,4.539969612510374,2.507954671033177,Metal
210,Motionless in White - Disguise [OFFICIAL VIDEO]-cIEc_11Aydc.mp3,104.16666666666669,311,0.5190759717737742,0.2745501399040222,3272.042330038273,3377.572632565545,6687.7939640613895,0.07000950869578099,134.24056238772246,-52.38861419638696,28.843999521695267,-24.766524547876248,26.44077569083323,-11.389355395213725,11.372379797461717,-3.2210569380724596,8.112392883163206,-2.288341959415252,5.283652532617651,Metal
211,Volbeat - Still Counting (Live from Wacken Open Air 2017)-R24bCFcdJ8Y.mp3,95.703125,293,0.4951913566962401,0.19099915027618408,3097.6093846063645,3434.3002984017553,6590.946256560806,0.06831509459252451,141.68736360406106,-45.508559213123284,36.168263225383335,-11.290544789651785,24.690294740563324,-20.06343547580799,23.606467239341068,-7.539781862924976,12.9296682373544,-0.032559039847902316,5.279590733902649,Metal
212,Five Finger Death Punch - Far From Home (Official Audio)-dMHhiMxGLU0.mp3,137.1951219512195,414,0.4542662607846616,0.2232905626296997,2988.7767374896143,3378.6576920392076,6546.525946610572,0.06015572341083492,147.37118706923775,-37.18476961716972,45.8510862235866,-15.370570000613634,35.06189660095365,-11.930183785756485,16.431869825573653,1.2788658145680387,5.823722569017866,5.090259640665236,-0.38229731490730734,Metal
213,"Metallica - Blackened (Detroit, MI - July 12, 2017)-LjDmfU4zB7o.mp3",100.44642857142857,232,0.5560785391882892,0.16384440660476685,2548.625398895985,2761.296810496661,5187.831461839299,0.053509358010266066,152.55120394294457,-53.299465660124,42.076659245084315,1.0633074814346284,20.58168517192132,-3.3170223570195674,5.083957976970499,-1.050424289448037,2.466493135783672,5.944791743680874,6.482743834049392,Metal
